Date,Open,High,Low,Close,Adj Close,Volume
2024-03-05,463.2300109863281,464.5799865722656,457.9599914550781,458.260009765625,458.260009765625,1450500
2024-03-06,458.1600036621094,463.8399963378906,457.8800048828125,461.07000732421875,461.07000732421875,546100
2024-03-07,459.2099914550781,459.5899963378906,454.260009765625,456.3999938964844,456.3999938964844,796300
2024-03-08,455.010009765625,459.8900146484375,453.1400146484375,459.5,459.5,475600
2024-03-11,459.4800109863281,462.239990234375,458.3500061035156,459.25,459.25,552500
2024-03-12,456.54998779296875,460.8999938964844,454.5299987792969,458.8399963378906,458.8399963378906,1213600
2024-03-13,458.55999755859375,462.20001220703125,458.0299987792969,458.2300109863281,458.2300109863281,698500
2024-03-14,458.0,461.3900146484375,457.2300109863281,460.8599853515625,460.8599853515625,669900
2024-03-15,457.8800048828125,464.3900146484375,457.8800048828125,461.75,461.75,1000000
2024-03-18,461.0,463.5199890136719,459.04998779296875,462.3900146484375,462.3900146484375,540800
2024-03-19,465.0,467.5,462.6300048828125,467.4800109863281,467.4800109863281,726800
2024-03-20,468.6300048828125,471.4100036621094,466.6199951171875,470.75,470.75,617300
2024-03-21,471.94000244140625,473.55999755859375,467.29998779296875,467.489990234375,467.489990234375,798000
2024-03-22,468.9700012207031,471.2900085449219,467.6000061035156,468.75,468.75,615400
2024-03-25,471.32000732421875,472.0,467.9100036621094,469.32000732421875,469.32000732421875,446900
2024-03-26,469.5,473.05999755859375,468.6000061035156,469.9100036621094,469.9100036621094,503900
2024-03-27,472.8299865722656,477.8900146484375,471.9599914550781,477.3599853515625,477.3599853515625,823100
2024-03-28,479.0,480.75,478.0,478.6600036621094,478.6600036621094,632500
2024-04-01,478.3900146484375,478.82000732421875,470.9200134277344,471.3500061035156,471.3500061035156,794700
2024-04-02,472.0899963378906,473.989990234375,465.010009765625,466.3599853515625,466.3599853515625,801700
2024-04-03,465.3299865722656,467.6000061035156,456.80999755859375,457.010009765625,457.010009765625,1271600
2024-04-04,458.0,464.6499938964844,455.6000061035156,459.4800109863281,459.4800109863281,2219000
